16250456	16812
16250504	4440
16250432	4608
16245527	6900
16250552	1455.9
16248474	29526
16250031	1684.48
16250021	5165.22
16251249	12.5
16249909	10964
16251307	25
16245350	1205.36
16249909	20976
16247852	1018.8
16249672	1692
16249681	19656
16245217	2508
16248560	465.9
16250984	13
16251248	12.5
16250347	25
16251211	12.5
16250374	12.5
16251235	72
16251230	48
16251183	47.5
16251226	11.5
16251538	-9100
16251539	2670
16250516	22224
16250351	79.8
16251514	1000
16250434	660
16251225	44.64
16251208	12.5
16251060	25
16251025	37.2
16251120	11.5
16251234	62.5
16251391	11.5
16251144	12.5
16251629	7.9
16251184	12.5
16249869	85
16249869	2315.5
16249869	2634.5
16252055	-2910.6
16252056	2941.2
16251904	257.9
16251525	1585.5
16251907	25
16251666	48.5
16251905	257.9
16251560	60
16251928	219.68
16251526	1086
16251520	100
16251473	79.33
16251486	210.7
16251656	22.12
16251630	35.63
16251872	33.18
16251903	9.07
16251246	27.41
16251956	17.33
16251652	103.04
16251268	54.82
16251670	109.44
16250780	228.8
16251985	174.39
16251972	54.46
16251973	81.69
16251941	25.76
16251960	268.94
16251955	51.52
16251803	27.23
16251952	25.34
16251954	25.76
16251971	25.34
16251149	27.41
16251959	4.36
16251801	81.69
16251940	77.28
16251951	10.6
16251684	23.05
16250453	11178
16251641	214.35
16251324	103.36
16251647	118.56
16251687	27.23
16251870	34.66
16251943	25.34
16251957	25.76
16251706	53.72
16250413	24663
16250326	0.3
16251800	35.91
16251163	80.36
16251673	89.37
16250420	1272.3
16250420	4536
16250326	2583
16251540	6.9
16251540	3344.7
16251214	139.66
16251567	99.4
16251705	87.77
16251906	162.78
16251540	71.81
16251540	63.87
16251540	55.42
16251664	58.52
16250815	44.05
16252035	522.34
16251709	175.54
16251927	346
16251891	14.48
16251901	71.24
16250501	3192
16252026	219.15
16251675	32.6
16251643	23.7
16251182	180.84
16251644	39.72
16251889	50.64
16251682	95
16251651	178.1
16251194	128
16251194	288
16251194	313.06
16251194	197.5
16251990	137.95
16252082	175.23
16251531	49.88
16250448	48
16250448	19.78
16252070	86.38
16252109	442.5
16251654	19.4
16251674	42.34
16250448	134.2
16252047	59.6
16251902	87.78
16250950	61552
16250512	3192
16250512	14900
16250512	2840.4
16250807	1700
16251530	55854
16251530	20740
16251547	61128
16251547	1368
16251547	5080
16251547	59980
16250628	3309
16250585	540
16250585	3898.8
16250585	250
16251649	175.54
16250530	2461
16250375	1259.5
16251893	43.44
16251958	15.6
16252160	278.94
16252160	55.2
16252014	69.15
16251671	542.6
16251953	93.3
16252129	109.44
16251681	26.86
16251886	2240.2
16252450	32.31
16250522	320
16252060	114.82
16251886	219.06
16251886	3569.3
16251913	178.1
16251934	88.71
16252411	156.75
16252411	16000
16252411	627.6
16252061	101.82
16250814	10580
16251631	43.19
16251861	14.48
16252012	12
16251921	14.48
16251942	19.86
16252067	96.26
16252013	23.05
16252203	15.48
16252045	156.54
16252034	469.32
16251174	120.54
16252191	207.56
16251863	23.7
16252454	275.45
16250373	303.3
16252668	748
16250431	1762
16250431	20688
16250431	1990.8
16250431	2431
16250431	27564
16251860	43.44
16252315	565.8
16252277	23.84
16252315	590.2
16252015	69.15
16252338	54.26
16252338	114.82
16252405	35.88
16252101	59.4
16252095	71.06
16251101	120.56
16251802	23.7
16252571	19.58
16252553	13.6
16252340	383.78
16252483	43.19
16250520	12.9
16250520	10.5
16252194	40.18
16252504	95
16252469	19.58
16251188	19
16252718	3.5
16252470	257.29
16250472	9.26
16252001	23.05
16251650	276.4
16251215	42.6
16251215	150.6
16252510	53.84
16252556	71.25
16251203	49.3
16251167	36
16251877	44.16
16252511	116.82
16252239	24.87
16251216	4.8
16252501	128.8
16252239	35
16252239	125.95
16252239	182.4
16251212	110.8
16252498	131.8
16252509	26.92
16251161	9.6
16252494	2142
16252484	257.6
16252529	26.92
16251250	3.5
16251250	4.63
16251250	17.5
16250419	729.6
16250419	1466
16251642	714.96
16252688	716.99
16252531	12.5
16252471	88.18
16252719	103.78
16251869	94.8
16252861	119.66
16252650	198.96
16252335	452.2
16252625	67.44
16252736	61.86
16252601	134.88
16252493	48.13
16252495	107.64
16252832	28.5
16250449	56502
16250449	9120
16250449	2813.6
16250449	20688
16250449	1368
16250449	4804.8
16250449	1482
16250449	2793.6
16250449	1670
16250449	10500
16252486	144.4
16251192	2.6
16252496	109.32
